,Date,ID,url,username,source,location,tweet,num_of_likes,num_of_retweet
10,2023-02-20 12:39:11+00:00,1627649062341050368,https://twitter.com/1upmovement_/status/1627649062341050368,1upmovement_,Twitter for Android,"Atlanta, GA","@Nmlessgrayface @prageru What makes you think Donald Trump will ever take second fiddle?

California Dreaming",0,0
11,2023-02-20 12:39:09+00:00,1627649055034580995,https://twitter.com/nghanimeh57/status/1627649055034580995,nghanimeh57,Twitter for iPhone,,What about Joe Biden and Donald Trump,0,0
12,2023-02-20 12:38:01+00:00,1627648770774077440,https://twitter.com/WORLDNE10696852/status/1627648770774077440,WORLDNE10696852,Twitter Web App,United Kingdom,"Mary Trump wonders if Nikki Haley had a 'locked-room deal' with Donald Trump
https://t.co/PVWO58kobr",0,0
13,2023-02-20 12:37:58+00:00,1627648756530176002,https://twitter.com/ClaudiaPierri/status/1627648756530176002,ClaudiaPierri,Twitter Web App,,"INFORME: Gracias a que el presidente número 45, Donald Trump, hizo historia como el primer presidente en tener una oficina en la Casa Blanca dedicada a la lucha contra el tráfico sexual, se logró y se sigue logrando un “impacto increíble”",0,0
14,2023-02-20 12:37:57+00:00,1627648753166417920,https://twitter.com/randomtrump1/status/1627648753166417920,randomtrump1,Random Trump,,Random Trump https://t.co/Fas7dD6TI3 - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/Ar5JxmeJnl,0,0
15,2023-02-20 12:37:44+00:00,1627648698329989122,https://twitter.com/BrettField16/status/1627648698329989122,BrettField16,Twitter for Android,,"@nickhedley Despicable, doing military drills with a Right Wing Fascist State, global sponsor of White Supremacists like Donald Trump and Marie Le Penne; Putin treats his people like Apartheid government treated black SAns, political opponents assassinated, no freedom of speech, just terror",1,0
16,2023-02-20 12:37:35+00:00,1627648659876708354,https://twitter.com/FinleyStrang/status/1627648659876708354,FinleyStrang,Twitter Web App,,"@SueZieCue Nobody gives a shit, plus can you explain why you HATE donald trump, like what the actual fuck has he done..? 🤓",0,0
17,2023-02-20 12:37:32+00:00,1627648647948107779,https://twitter.com/monkeybone64/status/1627648647948107779,monkeybone64,Twitter for iPhone,"St. Louis, MO","Read ""'Hackers working in the systems': Donald Trump Jr. suggests Russia is behind train derailments' on SmartNews: https://t.co/cBrhZhjLEA",0,0
18,2023-02-20 12:37:26+00:00,1627648623340036096,https://twitter.com/ffullcircle/status/1627648623340036096,ffullcircle,Twitter for Android,Whatever,"Donald Trump's Lawyers Are in Trouble.

https://t.co/vGdSzFnoaz",0,0
19,2023-02-20 12:37:12+00:00,1627648562753331200,https://twitter.com/Jonasamorim006/status/1627648562753331200,Jonasamorim006,Twitter for Android,,"ESQUERDA EM PÂNICO!
O ex-presidente Jair Bolsonaro e o ex-mandatário dos EUA, Donald Trump, vão se encontrar no megaevento conservador que acontecerá em Washington, em solo norte-americano, entre os dias 1 e 4 de março. A informação foi confirmada por Eduardo Bolsonaro. https://t.co/rimuLpzTKA",2,0
20,2023-02-20 12:36:58+00:00,1627648504775450624,https://twitter.com/inazubarashi/status/1627648504775450624,inazubarashi,Twitter for iPhone,Narcisstic,@ssupteacher @piersmorgan What’s wrong with Donald trump?,0,0
21,2023-02-20 12:36:21+00:00,1627648351645888512,https://twitter.com/TheFutureUChose/status/1627648351645888512,TheFutureUChose,"Cheap Bots, Done Quick!",,Daily reminder that Bernie Sanders would have defeated Donald Trump.,0,0
22,2023-02-20 12:36:17+00:00,1627648332024762372,https://twitter.com/chevytruck1961/status/1627648332024762372,chevytruck1961,Twitter for iPhone,,@Juan45T Happy Presidents’ Day Donald Trump Best President Ever will be back very soon,1,0
23,2023-02-20 12:35:36+00:00,1627648161568137216,https://twitter.com/BrendaFurqueron/status/1627648161568137216,BrendaFurqueron,Twitter for iPhone,"Alabama, USA",Happy President’s Day to Donald Trump https://t.co/zY1qRkIy9O,1,0
24,2023-02-20 12:35:30+00:00,1627648137119830016,https://twitter.com/Surf_Rescue_Vet/status/1627648137119830016,Surf_Rescue_Vet,Twitter for Android,Pacific Northwest ~ California,#DonaldTrump 🇺🇲👍 #HappyPresidentsDay,0,0
25,2023-02-20 12:35:11+00:00,1627648056005955586,https://twitter.com/nghanimeh57/status/1627648056005955586,nghanimeh57,Twitter for iPhone,,"2020 Ohio election 
Donald Trump 53.27%
Joe Biden 45.24% of the votes 
Would Joe Biden acted differently if he won Ohio, probably yes
If it happens in New York he would be there the next day.. https://t.co/rLvXhYVyEL",0,0
26,2023-02-20 12:35:03+00:00,1627648021591650307,https://twitter.com/TamelaClaxton/status/1627648021591650307,TamelaClaxton,Twitter for iPhone,,"@RonnyJacksonTX Today is February 20th,2023 and Donald Trump will never be the President of the United States. Ever Again.🇺🇸",0,0
27,2023-02-20 12:35:00+00:00,1627648008832815105,https://twitter.com/Elpoliticonews/status/1627648008832815105,Elpoliticonews,TweetDeck,"Washington, DC","🇺🇸 Aunque es una tradición informal de la política estadounidense el que un Presidente que perdió la contienda por la reelección no vuelva a lanzarse, Donald Trump (@realDonaldTrump) no la siguió 

Ingresa para más información 👇
https://t.co/KGLjZg1DiP",0,0
28,2023-02-20 12:34:54+00:00,1627647984031653890,https://twitter.com/lordmansouri/status/1627647984031653890,lordmansouri,Twitter for iPhone,Ashika Island,"@austinsilverfx When Donald Trump got elected, 90% of leftists said “He will start WWIII”, now look at them clowns, who’s promoting more conflicts? 🤡",0,0
29,2023-02-20 12:34:50+00:00,1627647968185659393,https://twitter.com/RussVet1/status/1627647968185659393,RussVet1,Twitter Web App,People's Republic of Texas,"Epstink Pedo  Island visitor list released by court ... yes, gross Joe Biden was a visitor. Donald Trump was not. imagine that 🙂 https://t.co/UeBlMXqRTf",1,1
30,2023-02-20 12:34:48+00:00,1627647957897203712,https://twitter.com/Todays_News_Bot/status/1627647957897203712,Todays_News_Bot,"Cheap Bots, Done Quick!",,In today's news: Donald Trump is at it again.,0,0
31,2023-02-20 12:34:34+00:00,1627647901752082432,https://twitter.com/metsduvalfan/status/1627647901752082432,metsduvalfan,Twitter for iPhone,,Happy Presidents’ Day just not to Nixon and Donald trump,0,0
32,2023-02-20 12:34:05+00:00,1627647779899338752,https://twitter.com/TradFiNews/status/1627647779899338752,TradFiNews,dlvr.it,,"Donald Trump, Ron DeSantis to Court Big-Money Donors at Dueling Palm Beach Events https://t.co/FKibbhUL28",0,0
33,2023-02-20 12:33:57+00:00,1627647744696262657,https://twitter.com/TamelaClaxton/status/1627647744696262657,TamelaClaxton,Twitter for iPhone,,"@dbongino Today is February 20th,2023 and Donald Trump will never be the President of the United States. Ever Again.🇺🇸",0,0
34,2023-02-20 12:33:50+00:00,1627647715625533444,https://twitter.com/kknochowski/status/1627647715625533444,kknochowski,Twitter Web App,,"1/2
Jak donosi @WSJ, Donald Trump i Ron DeSantis rozpoczynają podróż po kraju w celu zdobycia pieniędzy na swoje zbliżające się kampanie. Pierwszy z potencjalnych kandydatów ma spotkać się ze sponsorami w czwartek w swojej posiadłości na Florydzie, a

#USA #election #Republicans",0,0
35,2023-02-20 12:33:39+00:00,1627647670616526848,https://twitter.com/1upvault/status/1627647670616526848,1upvault,Twitter for iPhone,Tampa Bay,"In Mr. President! you’re tasked with protecting President Donald Trump from harm. This one actually came out before Trump was elected, so someone had prophetic vision

#PresidentsDay https://t.co/eHpe5FCyKd",0,0
36,2023-02-20 12:33:39+00:00,1627647669664374789,https://twitter.com/ReddKopite/status/1627647669664374789,ReddKopite,Twitter for Android,"Port Elizabeth, South Africa","@zachbattle34 @JoJoFromJerz You should really broaden your world view. Everything is not about you suffering under inflation or paying to much for gas. It's literally about surviving tyranny worldwide. Donald Trump was part of that plan of the forces of darkness but yeah, go on &amp; idolize his weakness",0,0
37,2023-02-20 12:33:05+00:00,1627647529243271169,https://twitter.com/ElNacionalWeb/status/1627647529243271169,ElNacionalWeb,TweetDeck,Caracas - Venezuela,#ENOpinión Donald Trump: una tragedia americana en desarrollo | Por Gustavo Coronel 🖊️  https://t.co/FReqyoJM1K,0,2
38,2023-02-20 12:33:04+00:00,1627647522016571396,https://twitter.com/jonb4431/status/1627647522016571396,jonb4431,Twitter for iPhone,,"@JackCSLewis @mtaibbi Did you miss this part — “It was strange to me when all of these investigations were announced because it was all about the exact same stuff that we had done [when Donald Trump was in office],” one former top aide to a senior Trump administration",0,0
39,2023-02-20 12:32:54+00:00,1627647483177213952,https://twitter.com/randomtrump1/status/1627647483177213952,randomtrump1,Random Trump,,Random Trump https://t.co/HOuVS1tZs0 - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/xpnyFkryHC,0,0
40,2023-02-20 12:32:38+00:00,1627647413635915777,https://twitter.com/RCampbellmc58/status/1627647413635915777,RCampbellmc58,Twitter Web App,Colorado,"President Biden made a surprise trip to a war zone Monday to show his solidarity with the Ukranian people in their fight for democracy.

Donald tRump canceled a visit to a WW1 memorial in France because of rain.

War zone.

Rain.
https://t.co/vkCRwhWbL4",6,5
41,2023-02-20 12:32:32+00:00,1627647388918681601,https://twitter.com/KimTopski/status/1627647388918681601,KimTopski,Twitter for iPhone,"Wisconsin, USA",Donald Trump and Andrew Jackson: History Repeats Itself - American Thinker https://t.co/Hwgacbhrb4,0,0
42,2023-02-20 12:32:32+00:00,1627647387530297345,https://twitter.com/A_RehmanK94/status/1627647387530297345,A_RehmanK94,Twitter for Android,,"@JDunlap1974 I am from Pakistan, I have no role in America politics but American politics effects us and I think Donald Trump was the most powerful but Peaceful president of USA. In his tenure america remain peaceful &amp; did not invade on any country.",6,3
43,2023-02-20 12:32:24+00:00,1627647356047851522,https://twitter.com/KennethVDuncan/status/1627647356047851522,KennethVDuncan,Twitter Web App,,Donald Trump Bids Farewell to ‘Failed Woke Extremist’ https://t.co/m3NyJMbFk3 Trump creates another international incident because he cannot keep his mouth shut. He and Boebert can't control their substandard intellects before opening their mouths.,1,0
44,2023-02-20 12:32:21+00:00,1627647342412288000,https://twitter.com/TonyTsgro75/status/1627647342412288000,TonyTsgro75,Twitter for Android,"Pittsburgh, PA","@Morning_Joe Jason Beardsley spoke at the 2016 Republican National Convention, where he harshly criticized the idea that since we've made mistakes, we should forfeit our leadership or we should lead from behind."" He also praised the convictions and the prospective leadership of Donald Trump",0,0
45,2023-02-20 12:32:02+00:00,1627647264343703552,https://twitter.com/Sm97536886David/status/1627647264343703552,Sm97536886David,Twitter Web App,,'DeSanctimonious RINO': Donald Trump Bashes Ron DeSantis Ahead of Presidential Primaries https://t.co/Q5UGohgjVx,1,1
46,2023-02-20 12:32:00+00:00,1627647254067650560,https://twitter.com/VoiceMaga/status/1627647254067650560,VoiceMaga,TweetDeck,,"The DOJ Just Argued Against Donald Trump’s Request

https://t.co/isryRJwhXE",0,0
47,2023-02-20 12:31:28+00:00,1627647119472439296,https://twitter.com/baliquintero/status/1627647119472439296,baliquintero,Twitter for iPhone,between a wall and a sword,@Jenniffer Tu eres leal a Donald Trump,0,0
48,2023-02-20 12:31:26+00:00,1627647110798618626,https://twitter.com/hilltophereford/status/1627647110798618626,hilltophereford,Twitter Web App,Texas,Donald Trump feud with ‘disgusting’ fisherman goes viral https://t.co/OMytqe5h3J,0,0
49,2023-02-20 12:31:22+00:00,1627647096084897793,https://twitter.com/Tracy03671011/status/1627647096084897793,Tracy03671011,Twitter for Android,,@JDunlap1974 Kari Lake won!!! Donald Trump won!!!!!!!,0,0
50,2023-02-20 12:30:58+00:00,1627646993391579138,https://twitter.com/CAROL11959252/status/1627646993391579138,CAROL11959252,Twitter Web App,,"SUSPICIOUSLY EGG FARMS &amp; PROCESSING PLANTS BURN NOW FARMLAND WILL BE POLLUTED WITH MULTIPLE (4?) CHEMICAL TRAIN DERAILMENTS? HUNGRY PEOPLE ARE  SUBMISSIVE. AFRAID OR PLAN?
Donald Trump Jr Blasts Washington: 'Our “Leaders” Are Too Afraid To Actually Lead' https://t.co/cACtUVjyB4",0,0
51,2023-02-20 12:30:53+00:00,1627646975607730176,https://twitter.com/DeniseJenks9/status/1627646975607730176,DeniseJenks9,Twitter for Android,"North Carolina, USA","PS: I definitely want @POTUS &amp; @VP doing more defending democracy at home, too.
The enemies are within - in Republican congress, state governments - aiding domestic terrorist Donald Trump.",0,0
52,2023-02-20 12:30:36+00:00,1627646903059107840,https://twitter.com/VMachiavelique/status/1627646903059107840,VMachiavelique,"Cheap Bots, Done Quick!",,donald trump is a fascist #trumpfascist,0,0
53,2023-02-20 12:30:28+00:00,1627646870972518401,https://twitter.com/LeftistKismet/status/1627646870972518401,LeftistKismet,Twitter Web App,,@RepMTG That's Donald Trump. That's literally Donald Trump.,0,0
54,2023-02-20 12:30:25+00:00,1627646855474565121,https://twitter.com/KillTylerDurden/status/1627646855474565121,KillTylerDurden,Twitter Web App,,"@realMeetJames &gt;just moments after

Wrong

DeWine requested federal help on the 16th

Biden admin made an announcement early on the 17th
(https://t.co/HHFvMJF7Ul)

That night, Donald Trump Jr broke the news that Trump was going to OH (https://t.co/hVxga11CTb)",0,0
55,2023-02-20 12:30:23+00:00,1627646848897892352,https://twitter.com/big_catsf/status/1627646848897892352,big_catsf,Twitter for iPad,Canada,@realTuckFrumper My guess is Lindsey Graham rues the day he met Donald Trump.,0,0
56,2023-02-20 12:30:19+00:00,1627646829507608578,https://twitter.com/JCEMe2/status/1627646829507608578,JCEMe2,Twitter for iPhone,"Michigan, USA","@RobFinnertyUSA @NEWSMAX Our real President, Donald Trump 🇺🇸",0,0
57,2023-02-20 12:30:18+00:00,1627646828056576001,https://twitter.com/COMA387Group1/status/1627646828056576001,COMA387Group1,"Cheap Bots, Done Quick!",,Why does Google sexualize women by upholding Donald Trump,0,0
58,2023-02-20 12:30:16+00:00,1627646820842147842,https://twitter.com/MBeeler1972/status/1627646820842147842,MBeeler1972,Twitter for iPhone,"Georgia, USA",@DashDobrofsky Donald Trump screamed fake news and he got fake news,0,0
59,2023-02-20 12:30:04+00:00,1627646769872924672,https://twitter.com/trdny/status/1627646769872924672,trdny,Sprout Social,"New York, New York",Former President Donald Trump skews the list of real estate holdings of the current president and living ex-presidents. https://t.co/ZjPHV5teU2,0,0
60,2023-02-20 12:30:00+00:00,1627646752026247168,https://twitter.com/cubainformacion/status/1627646752026247168,cubainformacion,TweetDeck,,"🔴 El secretario de Estado con Donald Trump, Mike Pompeo 🇺🇲 defiende en su libro 📖 recién publicado, el chantaje para lograr los objetivos de su política exterior y la total falta de respeto por la legalidad internacional

https://t.co/72scUp8QRP

@JimmydeCuba @Kazorla80181152 https://t.co/XNJTqyg7H3",0,0
61,2023-02-20 12:29:43+00:00,1627646678978248705,https://twitter.com/JMapewu/status/1627646678978248705,JMapewu,Twitter Web App,Durban,@praiseoghre SA's very own donald trump,0,0
62,2023-02-20 12:29:29+00:00,1627646622422257664,https://twitter.com/DarrellGauthie2/status/1627646622422257664,DarrellGauthie2,Twitter Web App,,"""'Hackers working in the systems': Donald Trump Jr. suggests Russia is behind train derailments""

@DonaldJTrumpJr - That may be true, but this tells me @realDonaldTrump is leaking intelligence briefings to you!

@fbi @RepAdamSchiff @RepSwalwell @HouseDemocrats @SenateDems @POTUS",0,0
63,2023-02-20 12:29:23+00:00,1627646594932785154,https://twitter.com/PauloAlei/status/1627646594932785154,PauloAlei,Twitter Web App,Porto,"@carlos_diogo_c @SandraSoAlves @rmgr1976 @Cesar_J_Lopez @EdericoNogueira @Ann16289067 @MarioBPFerreira @FFigueiredoCor @ToGomes @carlosv96851 @AntnioL59095440 @jmedeiros71 @IsabelDiogo @Atalaia950 @Anastasiya1451A @tulioleal @gilda_fontes @paulompereira @__noggy__ @ObserverPT @Antonio_Argo_KZ @TiagoMa18953180 @sentiencehere @AnaMaars2020 @Marlia993599501 @camalees @esquilo71 @mapi20 @rocovargas @Joaohpr @MsgrCarlos @VBTC_22 @lordjimpt @MglMachado @zawevo @lizzyramos1983 @lusil1950 @EurocentricTuga @HelloTiago @CatWithUkraine @pedroCsimoes @TiagoCatrola77 @Ofra26255482 @jadrcarlos @JMdeOE @cjrolo @jpfpenedo @LuisFDias72 @vicsousa16 @TimothyDSnyder Um pro russo a colocar em 1º Lugar o interesse pessoal!
Entretanto anda a ser anunciado que enquanto Joe Biden visitava Zelensky em Kiev, Donald Trump partiu  para o estado de Ohio afetado pelo desastre ambiental",5,0
64,2023-02-20 12:29:02+00:00,1627646507011768320,https://twitter.com/LivingWillie/status/1627646507011768320,LivingWillie,Twitter for iPhone,"Nashville, TN","@TheRickWilson @NanniMagee Has to be the most embarrassing picture of any American president in my lifetime. What does defeated, look like. Donald Trump.",0,0
65,2023-02-20 12:28:41+00:00,1627646418998501376,https://twitter.com/roberto27863854/status/1627646418998501376,roberto27863854,Twitter for iPhone,,@fabian87592697 @JavyGuzmanGlz @mario_dico50 Te la regreso con gusto mejor pregúntale. A Donald Trump porque le hacen al populismo como el kks! Que son amigos!,0,0
66,2023-02-20 12:28:35+00:00,1627646397116710912,https://twitter.com/007danpol/status/1627646397116710912,007danpol,Twitter for Android,przemyśl/newmarket,"@BeataSzydlo @POTUS Say it to your favourite politicians  🫣 Orban, Lepen, Salvini and ""warmth men"" Lukashenka! This guys will really ""happy"" seeing your hypocrisy! Did you forgot how you and your party was sad when #DonaldTrump lost and @AndrzejDuda did congrats Mr Biden a great campaign?! Shame!!",0,0
67,2023-02-20 12:28:27+00:00,1627646362752897025,https://twitter.com/daved1948/status/1627646362752897025,daved1948,Twitter Web App,Michigan,"Happy President's Day to the current and all former presidents except the FAT ORANGE TURD, A.K.A. TRUMP
Today is February 20, 2023 and Donald Trump is still the worst human on earth and he's still a POS and always will be. #arresttrumpnow #biggestloser #corrupt #POS #taxfraud https://t.co/1nMRTlHRHs",0,0
68,2023-02-20 12:28:18+00:00,1627646322080890887,https://twitter.com/jeffreydburgess/status/1627646322080890887,jeffreydburgess,Twitter for iPhone,"Tempe, AZ","Happy Presidents Day to all former U.S. presidents- except, of course, Donald Trump. Hopefully we’ll soon be able to celebrate a national Trump Conviction Day for him. #PresidentsDay #DonaldTrump",0,0
69,2023-02-20 12:28:14+00:00,1627646307023355905,https://twitter.com/whoopsupside/status/1627646307023355905,whoopsupside,Twitter for Android,,"Mark it: Donald Trump will never again hold any position in U.S. government, and it will be, justly, not because of his policies, but personality.",0,0
70,2023-02-20 12:28:10+00:00,1627646291114164224,https://twitter.com/HumphreyBohun/status/1627646291114164224,HumphreyBohun,Twitter for iPad,,"And the GOP will manage the spectacularly heroic feat of gaining no seats by nominating Donald Trump for president and candidates like @KariLake, inter alia, for the Senate seats themselves.",2,0
71,2023-02-20 12:28:06+00:00,1627646273640882177,https://twitter.com/Sicilianan/status/1627646273640882177,Sicilianan,Twitter Web App,Orange County ,@CNNPolitics Thank god the real President Donald Trump will be visiting our own crisis here in Ohio,0,0
72,2023-02-20 12:27:57+00:00,1627646237133373442,https://twitter.com/randomtrump1/status/1627646237133373442,randomtrump1,Random Trump,,Random Trump https://t.co/v2UxJ59gST - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/9ihiWjKfPd,0,0
73,2023-02-20 12:27:48+00:00,1627646198130659328,https://twitter.com/Olivier40121476/status/1627646198130659328,Olivier40121476,Twitter for Android,France,"#BreakingUSA 
La Cour suprême des États-Unis est sur le point d'examiner s'il convient ou non d'entendre une action en justice visant à destituer le président #JoeBiden de la Maison Blanche et à réintégrer le président #DonaldTrump dans ses fonctions
Via 
https://t.co/DoIx6aL8r8",1,0
74,2023-02-20 12:27:36+00:00,1627646149443129345,https://twitter.com/hilltophereford/status/1627646149443129345,hilltophereford,Twitter Web App,Texas,Donald Trump is out of gas https://t.co/tu7oD7jgx0 via @PalmerReport,0,0
75,2023-02-20 12:27:31+00:00,1627646128723296256,https://twitter.com/BialikWilliam/status/1627646128723296256,BialikWilliam,Twitter for iPhone,,"If Donald Trump was president, we wouldn’t have to worry about none of this shit but you senators suck you back  Biden",0,0
76,2023-02-20 12:27:23+00:00,1627646091222188033,https://twitter.com/NoahM16320677/status/1627646091222188033,NoahM16320677,Twitter for iPhone,,Donald trump was elected,0,0
77,2023-02-20 12:26:44+00:00,1627645930727149568,https://twitter.com/SamFox885/status/1627645930727149568,SamFox885,Twitter Web App,,@prageru President Donald Trump.,0,0
78,2023-02-20 12:26:39+00:00,1627645908924899333,https://twitter.com/TerryTheDude73/status/1627645908924899333,TerryTheDude73,Twitter for iPhone,,I imagine they hate Donald Trump because they had to postpone their plans to destroy America and bring us under globalism back in 2016. They have never forgiven him for that. The minions are just the useful idiots that hate him because TV man said so.,4,2
79,2023-02-20 12:26:26+00:00,1627645852587106305,https://twitter.com/JustScotUSA/status/1627645852587106305,JustScotUSA,Twitter for iPhone,,"@JaromeBellVA @elonmusk If you haven’t figured it out yet, there’s still a bunch of liberals who get offended very easily at Twitter. I just got off a five day suspension because I said something negative about the president but they can say whatever the hell they want about Donald Trump.",0,0
80,2023-02-20 12:26:24+00:00,1627645846308421637,https://twitter.com/Ayush_Shah_25/status/1627645846308421637,Ayush_Shah_25,Twitter for Android,India,I asked ChatGPT to list positive reforms during tenure of Former US President Donald Trump. It took 4min 17sec for it to write. https://t.co/w6OokebtNc,8,0
81,2023-02-20 12:26:08+00:00,1627645780713525249,https://twitter.com/KILLalltheNPCS/status/1627645780713525249,KILLalltheNPCS,Twitter Web App,,There are still many NPC's who waste their energy bitching about Donald Trump.. Still.. That is a full blown NPC.. anyone who still cares about someone they only know from TV is a full blown NPC..,0,0
82,2023-02-20 12:26:02+00:00,1627645751592423426,https://twitter.com/A_RehmanK94/status/1627645751592423426,A_RehmanK94,Twitter for Android,,"@PeteHegseth I am Pakistani but I think that Donald Trump is a great world leader. He finished 20 years old Afghan War, and in his tenure there were no new invasion of USA on any country. His tenure was peaceful as compared to others.",0,0
83,2023-02-20 12:25:32+00:00,1627645627159965697,https://twitter.com/slenarz/status/1627645627159965697,slenarz,Twitter for Android,"Dover, OH",What a big fat disgusting human being! I am talking about Alex Jones and Donald Trump!,5,0
84,2023-02-20 12:25:26+00:00,1627645600765296641,https://twitter.com/mastersolace/status/1627645600765296641,mastersolace,Twitter for Android,"Columbus, IN","@RepMTG And Donald Trump is the worst of them.

Glad you finally admit this.",0,0
85,2023-02-20 12:25:20+00:00,1627645575347818498,https://twitter.com/JonasFransson11/status/1627645575347818498,JonasFransson11,Twitter for iPhone,"Stockholm, Sverige",@fredde1103 @strandhall Lite väl elakt mot Donald Trump va? Annika är en utav dom sjukaste politiker vi har i Sverige om inte den sjukaste.,0,0
86,2023-02-20 12:25:18+00:00,1627645570696478720,https://twitter.com/Roktgurl/status/1627645570696478720,Roktgurl,Twitter for Android,,"Good morning! Today would be a fantastic day to indict Donald Trump! Make it happen @TheJusticeDept  
#IndictTrumpAndHisAccomplices 
#IndictmentsAreComing https://t.co/dh5mP5WixV",0,1
87,2023-02-20 12:25:12+00:00,1627645543064424449,https://twitter.com/EmeryNicoletti/status/1627645543064424449,EmeryNicoletti,Twitter for iPhone,"Tucson, Arizona","@Captain35E @ericareport Well they’ll have to get in line with verifiable evidence, if they have any. Meanwhile, Donald Trump will be on his way to a nice, long lock up!
“Lock Him Up!”",1,0
88,2023-02-20 12:25:03+00:00,1627645504262930432,https://twitter.com/steven86026859/status/1627645504262930432,steven86026859,Twitter for iPhone,N.E. ,"@JerryDunleavy @Belinda_and_cat Adam Kinzinger has been in US military for 20 years, including Iraqi war. Yet the maga cult ostracized him. Donald Trump got 5 deferments, but the cult worship him. 
So what’s your point?",0,0
89,2023-02-20 12:24:58+00:00,1627645483903492096,https://twitter.com/Deez9419/status/1627645483903492096,Deez9419,Twitter for Android,,"@morlando616 @RedRiverNorth @EndWokeness Donald Trump, Dennis Hastert, Jim Jordan, Roy Moore. All of these Republicans have been confirmed to be pedos. Don't believe me look it up 🤷🏻‍♀ and there are many many more.",0,0
90,2023-02-20 12:24:46+00:00,1627645436260483073,https://twitter.com/InspoCrypto/status/1627645436260483073,InspoCrypto,Twitter Web App,Europe,"@JustNNovel OMG... and people voted for Joe Biden because Donald Trump was going to push the nation in a civil war, they said. 🤡🤣",3,0
91,2023-02-20 12:24:35+00:00,1627645388260777985,https://twitter.com/JimAdamsHimself/status/1627645388260777985,JimAdamsHimself,Twitter for Android,"Macomb, IL",@RealLindaBlair Why are you accepting money from Donald Trump against me?,0,0
92,2023-02-20 12:23:38+00:00,1627645147944038401,https://twitter.com/WolkingHouse/status/1627645147944038401,WolkingHouse,Twitter for iPhone,,Donald Trump looking after American’s while Biden is a Globalist.,0,0
